#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      289.6   198.1    74.4   146.8   165.7   274.8   325.1   351.0   368.4   388.0   411.6   453.7   578.0  1805.6  8228.5  29991.3    30000
read      294.0   197.8    80.4   154.7   173.0   276.1   326.2   353.2   371.5   392.2   417.7   459.7   591.5  1806.7  8052.8  30011.1    30010
read      307.1   295.2    74.4   152.9   171.5   277.7   327.2   353.9   372.1   394.2   424.1   478.3   774.6  3946.7 11455.4  29990.2    30020
read      295.5   248.1    74.4   155.3   172.6   271.0   318.3   344.5   363.5   385.0   411.8   457.9   646.2  3403.0  9493.4  30000.3    30030
read      307.8   245.5    80.4   154.5   173.0   281.8   333.4   361.0   380.1   402.5   433.7   491.9   747.9  3720.5  8227.7  30116.1    30040
read      318.7   284.2    86.8   162.0   179.8   287.6   339.7   367.4   387.0   409.3   440.5   500.8   844.2  4189.5  9477.7  30078.7    30050
read      408.9  6890.6    86.8   155.0   172.1   273.9   325.5   354.0   373.5   396.8   427.3   482.4   786.7  6710.6 495901.0  30082.3    30060
read      412.4  7348.9    80.4   157.0   176.5   291.6   343.2   369.4   387.7   407.7   434.6   482.8   639.9  2941.7 518255.0  30056.3    30070
read      299.7   209.8    74.4   152.8   172.4   284.5   335.2   361.0   378.1   397.4   423.2   465.4   593.1  2198.3  8474.6  30074.8    30080
read      295.1   218.5    74.4   148.5   167.3   280.1   331.4   357.1   373.7   393.5   419.1   462.6   589.0  1886.0  9689.0  30099.2    30090
read      285.7   222.1    74.4   149.8   167.5   267.4   316.7   342.9   360.8   380.1   403.3   444.4   566.0  2072.9  8726.4  30079.5    30100
read      306.6   227.6    74.4   150.7   170.3   292.0   346.5   373.1   391.0   410.6   435.1   475.6   601.5  2361.5  9575.4  30137.0    30110
read      292.2   206.7    86.8   153.9   171.5   275.4   325.5   351.2   368.3   387.7   410.9   450.6   575.6  2117.0  8925.3  30136.3    30120
read      298.3   202.6    74.4   150.8   169.7   282.4   334.4   360.8   378.1   397.5   423.7   466.6   601.7  2220.8  7789.1  30111.1    30130
read      286.7   205.6    80.4   149.1   166.5   268.7   319.5   346.4   364.6   384.7   408.1   449.1   572.9  1990.2  8429.0  30164.6    30140
read      304.4   229.2    80.4   153.0   173.3   288.8   340.2   366.1   383.8   402.7   429.7   471.3   603.6  2298.5  8702.1  30141.9    30150
read      288.8   224.0    86.8   156.8   173.5   265.9   314.3   341.8   361.2   382.8   409.0   455.7   592.5  2248.0  9640.7  30209.2    30160
read      302.8   208.7    68.9   150.9   170.6   287.9   341.2   367.6   385.6   404.9   431.6   472.6   603.7  2133.0  8446.5  30140.0    30170
read      302.5   213.8    80.4   155.6   174.7   282.5   334.0   360.5   378.3   398.8   426.0   469.1   630.5  2478.7  8562.2  30203.8    30180
read      301.3   194.1    86.8   156.7   175.2   284.6   337.4   363.8   381.6   401.2   427.5   468.6   596.0  2138.1  7984.6  30127.8    30190
read      311.2   201.6    86.8   160.9   180.0   296.7   348.7   374.1   391.9   412.0   437.2   481.0   614.4  2070.4  8301.1  30142.6    30200
read      295.7   212.1    80.4   157.3   175.4   276.3   327.2   353.9   371.9   393.1   419.7   462.3   585.7  2190.6  8670.2  30237.6    30210
read      306.9   209.2    86.8   156.6   176.1   291.4   343.2   368.6   386.4   405.8   432.9   476.5   616.3  2126.8  8367.2  30298.2    30220
read      296.5   207.0    80.4   152.0   170.7   279.5   331.7   358.3   375.5   395.8   422.1   464.3   591.1  2075.9  8114.6  30160.3    30230
read      301.6   201.3    80.4   158.2   176.5   284.4   337.0   363.5   381.1   400.6   427.1   467.5   593.0  2061.1  8114.2  30159.4    30240
read      304.5   208.7    86.8   160.6   179.0   288.3   339.2   364.8   382.3   401.7   428.0   468.6   594.0  2130.0  8586.2  30261.5    30250
read      294.0   211.4    74.4   150.1   169.1   276.0   327.6   354.4   372.2   393.2   420.1   463.4   589.4  2200.4  8221.1  30241.5    30260
read      296.7   229.5    80.4   156.0   174.7   278.5   328.9   355.1   372.2   392.8   418.8   461.3   584.9  2079.7 10388.6  30342.4    30270
read      287.3   201.1    86.8   151.9   169.3   268.4   318.8   345.9   364.4   384.7   408.7   449.2   567.8  2040.6  8235.5  30298.0    30280
read      300.6   207.2    86.8   156.8   175.6   283.1   334.6   361.2   379.1   399.2   426.2   469.1   603.9  2078.8  8044.6  30293.0    30290
read      305.1   205.4    93.8   163.7   182.9   286.8   336.5   362.5   380.2   400.6   427.9   470.3   604.4  2407.4  8386.9  30292.6    30300
read      290.2   206.2    74.4   154.0   171.8   271.0   321.1   348.5   366.9   387.3   411.8   453.6   572.7  2013.4  8083.9  30296.1    30310
read      301.4   225.8    68.9   152.7   172.6   286.1   337.2   363.1   380.6   399.8   426.3   468.4   597.6  1994.1  8730.5  30376.3    30320
read      304.9   206.0    80.4   156.3   176.0   290.5   341.7   366.9   384.1   402.6   429.0   470.2   595.6  2108.2  8133.2  30375.0    30330
read      308.2   216.9    80.4   156.7   176.2   292.9   345.2   371.0   388.8   408.1   433.8   476.0   605.7  2311.3  8587.4  30336.7    30340
read      293.2   202.5    80.4   153.8   171.8   274.9   327.7   355.7   373.9   394.4   419.7   458.9   574.7  1750.7  8305.3  30331.1    30350
read      299.3   239.8    86.8   154.7   173.5   281.5   333.2   359.7   377.0   397.0   423.0   464.3   588.4  2240.4 10961.7  30383.6    30360
read      305.2   208.7    74.4   155.9   175.5   290.5   342.2   368.3   385.9   404.4   430.6   470.6   591.6  2171.9  8650.0  30370.6    30370
read      306.4   209.0    86.8   157.1   176.6   292.6   343.3   368.6   385.8   403.9   430.1   471.3   605.2  2092.5  9132.3  30365.7    30380
read      297.2   215.3    86.8   152.1   170.9   281.1   332.3   358.6   375.8   395.8   421.7   464.5   589.8  2109.2  8770.3  30367.6    30390
read      298.8   214.7    74.4   151.8   171.1   282.7   335.1   362.0   380.0   399.6   425.4   466.6   588.1  2059.4  9159.1  30353.0    30400
read      304.8   236.0    86.8   154.4   173.8   288.5   340.1   366.6   384.7   404.0   430.6   471.2   600.6  2406.3 10608.9  30462.8    30410
